Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;label_based_generality;object_based_generality;name_based_generality;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right
Object;team member;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8542073437277001;0.8640358943239389;0.0;{'team member': 0.5679708123207092};0.5679708123207092;fdabea09-9d62-46e1-a772-56ca5f04d597_Object_team member;0.6111737310886383;[];[]
Object;partner;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8524248108075474;0.8669249268308036;0.0;{'partner': 0.7199248671531677};0.7199248671531677;a3497d0d-bbc9-4a6e-b660-95d3e95ca996_Object_partner;0.7473872562706795;[];[]
Object;team member;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8524248108075474;0.8669249268308036;0.0;{'team member': 0.5679708123207092};0.5679708123207092;a3497d0d-bbc9-4a6e-b660-95d3e95ca996_Object_team member;0.6106286069214668;[];[]
Object;customer contact role;Exactly1[train] | |;Unary;set();set();Exactly;train;;487;{1} occurs exactly {n} times;0.8577202379322186;0.864490460680967;0.0;{'customer contact role': 0.599428653717041};0.599428653717041;5fffe0dd-bf75-448d-b3ef-41f271f7eee7_Object_customer contact role;0.568983062724501;[];[]
Object;customer contact role;Existence1[train] | |;Unary;set();set();Existence;train;;513;{1} occurs at least {n} times;0.854138276418305;0.8665569246504915;0.0;{'customer contact role': 0.599428653717041};0.599428653717041;2c100572-e00d-4461-9cd4-99a0fe227abb_Object_customer contact role;0.5705578658741073;[];[]
Object;activity logged task;Exactly1[set] | |;Unary;set();set();Exactly;set;;76;{1} occurs exactly {n} times;0.8308738912724289;0.8839839016243292;0.0;{'activity logged task': 0.5570749044418335};0.5570749044418335;09e5a21b-8733-451d-8658-ebfac520d9a9_Object_activity logged task;0.5059706847426532;[];[]
Object;activity;Exactly1[set] | |;Unary;set();set();Exactly;set;;76;{1} occurs exactly {n} times;0.8308738912724289;0.8839839016243292;0.0;{'activity': 0.5555094480514526};0.5555094480514526;09e5a21b-8733-451d-8658-ebfac520d9a9_Object_activity;0.5045617739913104;[];[]
Object;status;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8526471202280315;0.8647505679979962;0.0;{'status': 0.5175477266311646};0.5175477266311646;47d843ba-6eb8-4c6d-92ea-c1b3300f3176_Object_status;0.5657929539680481;[];[]
Object;status;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8526790773506512;0.8668653039905747;0.0;{'status': 0.5175477266311646};0.5175477266311646;ccf12665-752e-470b-8533-be83e618ab06_Object_status;0.5652478298008766;[];[]
Object;activity;Exactly1[set] | |;Unary;set();set();Exactly;set;;86;{1} occurs exactly {n} times;0.8640885025597435;0.8648574158532147;0.0;{'activity': 0.6872400045394897};0.6872400045394897;e1a4d952-ff04-495e-9c71-7875f86d8227_Object_activity;0.6237249683496231;[];[]
Object;activity;Existence1[set] | |;Unary;set();set();Existence;set;;91;{1} occurs at least {n} times;0.8571983386647357;0.8663708425567588;0.0;{'activity': 0.6872400045394897};0.6872400045394897;d64daebc-d009-4c87-a8ff-5d652b611795_Object_activity;0.6240278151091628;[];[]
Object;activity;Exactly1[remove] | |;Unary;set();set();Exactly;remove;;36;{1} occurs exactly {n} times;0.8408669536408293;0.8563713686667046;0.0;{'activity': 0.6062692999839783};0.6062692999839783;ad4e409f-f865-4b48-95b7-8b09e27b0afd_Object_activity;0.5478228666542662;[];[]
Object;status;Existence1[update] | |;Unary;set();set();Existence;update;;159;{1} occurs at least {n} times;0.844675468563605;0.8779790283509389;0.0;{'status': 0.5549066066741943};0.5549066066741943;11a3d11e-243d-4a50-8a9b-f61b3c389dea_Object_status;0.5090464729601365;[];[]
Object;email;Exactly1[demo] | |;Unary;set();set();Exactly;demo;;12;{1} occurs exactly {n} times;0.7690968770553203;0.8243582611661867;0.0;{'email': 0.6176485419273376};0.6176485419273376;2ef08154-5d61-441c-9d4b-73e2c0c0fc36_Object_email;0.5566105199574992;[];[]
Object;partner;Exactly1[lead] | |;Unary;set();set();Exactly;lead;;7;{1} occurs exactly {n} times;0.5629154286413853;0.7798709071622315;0.0;{'partner': 0.5817162394523621};0.5817162394523621;aba796b1-8ddf-43f7-82b6-352fc487bc03_Object_partner;0.5239686009704814;[];[]
Object;opportunity account;Existence1[update] | |;Unary;set();set();Existence;update;;159;{1} occurs at least {n} times;0.8444903817525226;0.8747153578720182;0.0;{'opportunity account': 0.5655301809310913};0.5655301809310913;5a0e49cd-d901-4a5a-9b3a-064272dd7694_Object_opportunity account;0.5186076897913439;[];[]
Object;opportunity account;Exactly1[update] | |;Unary;set();set();Exactly;update;;152;{1} occurs exactly {n} times;0.8492535394267124;0.8658972690303572;0.0;{'opportunity account': 0.5655301809310913};0.5655301809310913;af07a842-b7e5-4c29-bb07-0f6020f1913c_Object_opportunity account;0.5181837043279883;[];[]
Object;approval process;Exactly1[call] | |;Unary;set();set();Exactly;call;;11;{1} occurs exactly {n} times;0.8829977671660127;0.8306915504303539;0.0;{'approval process': 0.6238682270050049};0.6238682270050049;e20a79a9-62f0-41f9-a76d-2494cc88e0cc_Object_approval process;0.5621476671754917;[];[]
Object;customer contact role added contract;Exactly1[assign] | |;Unary;set();set();Exactly;assign;;164;{1} occurs exactly {n} times;0.8494170335038813;0.8769835609610526;0.0;{'customer contact role added contract': 0.6436355113983154};0.6436355113983154;1a1e2b35-4b60-4f2d-b8e9-63ab010b7e55_Object_customer contact role added contract;0.5892053339713852;[];[]
Object;partner;Exactly1[assign] | |;Unary;set();set();Exactly;assign;;164;{1} occurs exactly {n} times;0.8494170335038813;0.8769835609610526;0.0;{'partner': 0.6583747863769531};0.6583747863769531;1a1e2b35-4b60-4f2d-b8e9-63ab010b7e55_Object_partner;0.6024706814521591;[];[]
Object;opportunity;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8507412612040804;0.8668714941946074;0.0;{'opportunity': 1.0};1.0;8e2dc658-ffb9-4355-a17c-c72c8b51c61d_Object_opportunity;0.9994548758328285;[];[]
Object;opportunity industry;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8507412612040804;0.8668714941946074;0.0;{'opportunity industry': 0.798933744430542};0.798933744430542;8e2dc658-ffb9-4355-a17c-c72c8b51c61d_Object_opportunity industry;0.8184952458203163;[];[]
Object;opportunity next step;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8507412612040804;0.8668714941946074;0.0;{'opportunity next step': 0.6664014458656311};0.6664014458656311;8e2dc658-ffb9-4355-a17c-c72c8b51c61d_Object_opportunity next step;0.6992161771118965;[];[]
Object;opportunity amount;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8507412612040804;0.8668714941946074;0.0;{'opportunity amount': 0.7280932068824768};0.7280932068824768;8e2dc658-ffb9-4355-a17c-c72c8b51c61d_Object_opportunity amount;0.7547387620270577;[];[]
Object;opportunity stage;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8507412612040804;0.8668714941946074;0.0;{'opportunity stage': 0.7367780208587646};0.7367780208587646;8e2dc658-ffb9-4355-a17c-c72c8b51c61d_Object_opportunity stage;0.7625550946057167;[];[]
Object;opportunity owner;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8507412612040804;0.8668714941946074;0.0;{'opportunity owner': 0.6668596863746643};0.6668596863746643;8e2dc658-ffb9-4355-a17c-c72c8b51c61d_Object_opportunity owner;0.6996285935700264;[];[]
Object;opportunity record type;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8507412612040804;0.8668714941946074;0.0;{'opportunity record type': 0.5208253860473633};0.5208253860473633;8e2dc658-ffb9-4355-a17c-c72c8b51c61d_Object_opportunity record type;0.5681977232754555;[];[]
Object;opportunity lead source;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8507412612040804;0.8668714941946074;0.0;{'opportunity lead source': 0.539583146572113};0.539583146572113;8e2dc658-ffb9-4355-a17c-c72c8b51c61d_Object_opportunity lead source;0.5850797077477303;[];[]
Object;opportunity;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.851044326829379;0.8619471905777474;0.0;{'opportunity': 1.0};1.0;1c188bf7-d069-4d04-847f-92d516903ba3_Object_opportunity;1.0;[];[]
Object;opportunity industry;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.851044326829379;0.8619471905777474;0.0;{'opportunity industry': 0.798933744430542};0.798933744430542;1c188bf7-d069-4d04-847f-92d516903ba3_Object_opportunity industry;0.8190403699874877;[];[]
Object;opportunity next step;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.851044326829379;0.8619471905777474;0.0;{'opportunity next step': 0.6664014458656311};0.6664014458656311;1c188bf7-d069-4d04-847f-92d516903ba3_Object_opportunity next step;0.699761301279068;[];[]
Object;opportunity amount;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.851044326829379;0.8619471905777474;0.0;{'opportunity amount': 0.7280932068824768};0.7280932068824768;1c188bf7-d069-4d04-847f-92d516903ba3_Object_opportunity amount;0.7552838861942291;[];[]
Object;opportunity stage;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.851044326829379;0.8619471905777474;0.0;{'opportunity stage': 0.7367780208587646};0.7367780208587646;1c188bf7-d069-4d04-847f-92d516903ba3_Object_opportunity stage;0.7631002187728881;[];[]
Object;opportunity owner;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.851044326829379;0.8619471905777474;0.0;{'opportunity owner': 0.6668596863746643};0.6668596863746643;1c188bf7-d069-4d04-847f-92d516903ba3_Object_opportunity owner;0.7001737177371978;[];[]
Object;opportunity record type;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.851044326829379;0.8619471905777474;0.0;{'opportunity record type': 0.5208253860473633};0.5208253860473633;1c188bf7-d069-4d04-847f-92d516903ba3_Object_opportunity record type;0.5687428474426269;[];[]
Object;opportunity lead source;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.851044326829379;0.8619471905777474;0.0;{'opportunity lead source': 0.539583146572113};0.539583146572113;1c188bf7-d069-4d04-847f-92d516903ba3_Object_opportunity lead source;0.5856248319149018;[];[]
Object;team member;Exactly1[assign] | |;Unary;set();set();Exactly;assign;;164;{1} occurs exactly {n} times;0.8518290931874781;0.8792764957729118;0.0;{'team member': 0.9999999403953552};0.9999999403953552;0682e61d-0d2a-4c14-a29f-75dfe6d24db1_Object_team member;0.909933320068721;[];[]
Object;status updated;Exactly1[set] | |;Unary;set();set();Exactly;set;;67;{1} occurs exactly {n} times;0.8686072398666158;0.8991474696276993;0.0;{'status updated': 0.6928205490112305};0.6928205490112305;c7fcf137-4be7-4232-a839-e157b1d55943_Object_status updated;0.6275966406879391;[];[]
Object;status;Exactly1[set] | |;Unary;set();set();Exactly;set;;67;{1} occurs exactly {n} times;0.8686072398666158;0.8991474696276993;0.0;{'status': 0.7413493990898132};0.7413493990898132;c7fcf137-4be7-4232-a839-e157b1d55943_Object_status;0.6712726057586635;[];[]
Object;status updated;Exactly1[set] | |;Unary;{'69c0664e3c144e23b695c5051c8ebf4a'};set();Exactly;set;;142;{1} occurs exactly {n} times;0.851110429783903;0.8819944903687369;0.0;{'status updated': 0.8135882616043091};0.8135882616043091;9e42d547-1be0-4d1f-8bf8-90a0a9cbb50f_Object_status updated;0.740830283414805;[];[]
Object;status updated;Existence1[set] | |;Unary;{'69c0664e3c144e23b695c5051c8ebf4a'};set();Existence;set;;156;{1} occurs at least {n} times;0.8569244187023393;0.8786297172407224;0.0;{'status updated': 0.8135882616043091};0.8135882616043091;a03555e4-b680-4f32-9928-dc3258d7063e_Object_status updated;0.741678254341516;[];[]
Object;bad data;Exactly1[create] | |;Unary;{'b0fc85bb87d047f1b004e559961e05c0'};set();Exactly;create;;41;{1} occurs exactly {n} times;0.8196518697548438;0.8823857929715148;0.0;{'bad data': 0.6957179307937622};0.6957179307937622;e70f17d1-dd59-453a-9b0d-e32ed11de7c3_Object_bad data;0.6286294811426113;[];[]
Object;bad data;Exactly1[train] | |;Unary;{'096f604858f14f64b8d3e1d834e17616'};set();Exactly;train;;487;{1} occurs exactly {n} times;0.8522532303703998;0.8624739784145528;0.0;{'bad data': 0.619026243686676};0.619026243686676;91933f6d-3e13-4e68-b247-83dfdd3f1e60_Object_bad data;0.5866208936971726;[];[]
Object;bad data;Existence1[train] | |;Unary;{'096f604858f14f64b8d3e1d834e17616'};set();Existence;train;;513;{1} occurs at least {n} times;0.8561633893012944;0.8602244492305451;0.0;{'bad data': 0.619026243686676};0.619026243686676;c717c782-5a22-473e-9247-af03c8709ba3_Object_bad data;0.5881956968467789;[];[]
Object;activity logged;Exactly1[create] | |;Unary;{'9bd3f46393844df8bdfaa38a930c1761'};set();Exactly;create;;41;{1} occurs exactly {n} times;0.8293123478997507;0.8663531088569476;0.0;{'activity logged': 0.6232227683067322};0.6232227683067322;c8e1130d-7dcf-485f-9987-7003d058129d_Object_activity logged;0.5633838349042843;[];[]
Object;activity logged task;Exactly1[create] | |;Unary;{'9bd3f46393844df8bdfaa38a930c1761'};set();Exactly;create;;41;{1} occurs exactly {n} times;0.8293123478997507;0.8663531088569476;0.0;{'activity logged task': 0.5766957998275757};0.5766957998275757;c8e1130d-7dcf-485f-9987-7003d058129d_Object_activity logged task;0.5215095632730434;[];[]
Object;activity;Exactly1[create] | |;Unary;{'9bd3f46393844df8bdfaa38a930c1761'};set();Exactly;create;;41;{1} occurs exactly {n} times;0.8293123478997507;0.8663531088569476;0.0;{'activity': 0.8026604652404785};0.8026604652404785;c8e1130d-7dcf-485f-9987-7003d058129d_Object_activity;0.724877762144656;[];[]
Object;activity logged task demo;Exactly1[create] | |;Unary;{'9bd3f46393844df8bdfaa38a930c1761'};set();Exactly;create;;41;{1} occurs exactly {n} times;0.8293123478997507;0.8663531088569476;0.0;{'activity logged task demo': 0.5791355967521667};0.5791355967521667;c8e1130d-7dcf-485f-9987-7003d058129d_Object_activity logged task demo;0.5237053805051755;[];[]
Object;approval process;Exactly1[train] | |;Unary;{'5b6e8670180c40fdbe9028c5ea4d304b'};set();Exactly;train;;487;{1} occurs exactly {n} times;0.8556779006047641;0.8621862067314385;0.0;{'approval process': 0.8431541919708252};0.8431541919708252;1ed54404-2707-4d4a-9acc-1d8b57169b43_Object_approval process;0.7883360471529068;[];[]
Object;approval process;Existence1[train] | |;Unary;{'5b6e8670180c40fdbe9028c5ea4d304b'};set();Existence;train;;513;{1} occurs at least {n} times;0.8562500276574609;0.8647839525859854;0.0;{'approval process': 0.8431541919708252};0.8431541919708252;568a2087-67a3-4466-9b05-9da2ad68fdb4_Object_approval process;0.7899108503025131;[];[]
Object;status updated;Exactly1[send] | |;Unary;{'94496f79ccf44bda96996e8d978bd885'};set();Exactly;send;;68;{1} occurs exactly {n} times;0.8222601042665734;0.8597270127468216;0.0;{'status updated': 0.612339437007904};0.612339437007904;d0f34c50-004b-4a50-8295-d441b620d542_Object_status updated;0.5552242092368532;[];[]
Object;activity;Exactly1[decision] | |;Unary;{'6df954f8e5a34a2aa7abf7fee40b3ce2'};set();Exactly;decision;;12;{1} occurs exactly {n} times;0.8603584805048061;0.8788117513082744;0.0;{'activity': 0.5866495966911316};0.5866495966911316;57fae1bf-1232-48ff-8098-3f7c8a62b37a_Object_activity;0.5287114692449137;[];[]
Object;email;Exactly1[send] | |;Unary;{'37167a64a7034599b6991648b207a46f'};set();Exactly;send;;68;{1} occurs exactly {n} times;0.8311253234127773;0.8719509596149453;0.0;{'email': 0.6626164317131042};0.6626164317131042;716ec04a-b296-4fac-af81-fd8940ffce1f_Object_email;0.6004735044715334;[];[]
Object;partner;Exclusive Choice[create, request] | | |;Binary;{'d0956589faf341dcb0edfd6adb6004c3', '36540d99cf5b4bbea96a25ec875162fe'};set();Exclusive Choice;create;request;4;{1} or {2} occurs, but never both in the same process instance;0.7030648797750473;0.7926818729777421;0.0;{'partner': 0.8271651268005371};0.8271651268005371;d29be603-4cc0-4083-8d8c-ff8ac1e91e2d_Object_partner;0.7446908915281152;[];[]
Object;partner;Exactly1[create] | |;Unary;{'36540d99cf5b4bbea96a25ec875162fe'};set();Exactly;create;;41;{1} occurs exactly {n} times;0.8167849466199599;0.883040283925723;0.0;{'partner': 0.8271651268005371};0.8271651268005371;fa4239fc-57ac-49fc-bb0a-6539be26d5a0_Object_partner;0.7469319575487088;[];[]
Object;activity logged task;Exactly1[set] | |;Unary;{'d6bb5687463f40389788e836b7e6d32e'};set();Exactly;set;;67;{1} occurs exactly {n} times;0.8744117248738321;0.9045362785842418;0.0;{'activity logged task': 0.5622063279151917};0.5622063279151917;78c2efbd-5c48-4d3d-b07a-5af7c0b89ad9_Object_activity logged task;0.5100438417015042;[];[]
Object;activity;Exactly1[set] | |;Unary;{'d6bb5687463f40389788e836b7e6d32e'};set();Exactly;set;;67;{1} occurs exactly {n} times;0.8744117248738321;0.9045362785842418;0.0;{'activity': 0.6101348400115967};0.6101348400115967;78c2efbd-5c48-4d3d-b07a-5af7c0b89ad9_Object_activity;0.5531795025882686;[];[]
Object;activity logged task questionnaire;Exactly1[set] | |;Unary;{'d6bb5687463f40389788e836b7e6d32e'};set();Exactly;set;;67;{1} occurs exactly {n} times;0.8744117248738321;0.9045362785842418;0.0;{'activity logged task questionnaire': 0.5565252304077148};0.5565252304077148;78c2efbd-5c48-4d3d-b07a-5af7c0b89ad9_Object_activity logged task questionnaire;0.504930853944775;[];[]
Object;lead;Exactly1[create] | |;Unary;set();set();Exactly;create;;1642;{1} occurs exactly {n} times;0.8519406494316623;0.8639820381881851;0.0;{'lead': 1.0000001192092896};1.0000001192092896;01281fad-8a50-44e1-b87b-e73c9dfe7602_Object_lead;0.9994549831211892;[];[]
Object;lead;Existence1[create] | |;Unary;set();set();Existence;create;;1651;{1} occurs at least {n} times;0.8542164893807122;0.8651117826277956;0.0;{'lead': 1.0000001192092896};1.0000001192092896;96bb5e6d-a1d5-4277-84dc-74c7524f2317_Object_lead;1.0000001072883606;[];[]
